road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
101880 101881,Metcalf,101880,101881,2008,1,1734,22,1,,,,,Highway,,101880,101881,383,7,Highway
101881 100163,Brice,101881,100163,1256,-1,1800,27,1,,,,,Highway,,101881,100163,128,7,Highway
101881 101880,Metcalf,101881,101880,2008,-1,1508,20,1,,,,,Highway,,101881,101880,383,7,Highway
101882 133,,101882,133,326,-1,1800,25,1,,,,,HOT,,101882,133,655,6,HOT
101882 101878,Collett,101882,101878,2004,-1,1734,25,1,,,,,Arterial,,101882,101878,423,5,Arterial
101911 134,,101911,134,330,-1,1800,25,1,,,,,HOT,,101911,134,517,6,HOT
101911 177,,101911,177,430,-1,1800,25,1,,,,,HOT,,101911,177,359,6,HOT
101911 101860,Market,101911,101860,1983,-1,1546,30,2,,,,,Highway,,101911,101860,438,7,Highway
101911 101861,Market,101911,101861,1985,-1,1734,28,2,,,,,Highway,,101911,101861,288,7,Highway
101913 133,,101913,133,2046,1,1800,25,1,,,,,HOT,,101913,133,348,6,HOT
101960 132,,101960,132,325,-1,1800,25,1,,,,,HOT,,101960,132,175,6,HOT
101960 182,,101960,182,448,-1,1800,25,1,,,,,HOT,,101960,182,232,6,HOT
101960 101986,Pierce,101960,101986,2099,1,1327,27,1,,,,,Arterial,,101960,101986,220,5,Arterial
101960 101999,Pierce,101960,101999,2100,1,1228,24,1,,,,,Arterial,,101960,101999,280,5,Arterial
101986 100282,Wayne,101986,100282,2129,1,1330,24,2,,,,,Arterial,,101986,100282,279,5,Arterial
101986 101960,Pierce,101986,101960,2099,-1,1800,27,1,,,,,Arterial,,101986,101960,220,5,Arterial
101986 102006,Pierce,101986,102006,2130,1,1618,28,1,,,,,Arterial,,101986,102006,141,5,Arterial
101987 101986,Wayne,101987,101986,2131,1,1330,24,2,,,,,Arterial,,101987,101986,259,5,Arterial
101987 102007,West Alley,101987,102007,2132,1,1421,23,1,,,,,Arterial,,101987,102007,280,5,Arterial
101988 100284,West,101988,100284,2133,1,1800,28,2,,,,,Highway,,101988,100284,236,7,Highway
101988 101987,Wayne,101988,101987,2134,1,1421,24,2,,,,,Arterial,,101988,101987,180,5,Arterial
101988 102009,West,101988,102009,2135,1,1421,27,1,,,,,Arterial,,101988,102009,285,5,Arterial
101999 100253,North,101999,100253,1370,-1,1228,27,1,,,,,Highway,,101999,100253,277,7,Highway
101999 100283,North,101999,100283,1402,-1,1421,27,1,,,,,Highway,,101999,100283,203,7,Highway
101999 100290,Pierce,101999,100290,1414,-1,1800,24,1,,,,,Arterial,,101999,100290,207,5,Arterial
101999 101960,Pierce,101999,101960,2100,-1,1800,24,1,,,,,Arterial,,101999,101960,280,5,Arterial
102000 134,,102000,134,331,-1,1800,25,1,,,,,HOT,,102000,134,1220,6,HOT
102000 184,,102000,184,456,-1,1800,25,1,,,,,HOT,,102000,184,459,6,HOT
102000 100287,driveway,102000,100287,1412,-1,1734,27,1,,,,,Arterial,,102000,100287,77,5,Arterial
102001 100285,Charles,102001,100285,1406,-1,1330,27,1,,,,,Arterial,,102001,100285,154,5,Arterial
102006 181,,102006,181,444,-1,1800,25,1,,,,,HOT,,102006,181,620,6,HOT
102006 101986,Pierce,102006,101986,2130,-1,1330,28,1,,,,,Arterial,,102006,101986,141,5,Arterial
102007 101987,West Alley,102007,101987,2132,-1,1330,23,1,,,,,Arterial,,102007,101987,280,5,Arterial
102007 102009,Pennsylvania,102007,102009,2155,1,1800,27,1,,,,,Arterial,,102007,102009,172,5,Arterial
102009 101988,West,102009,101988,2135,-1,1734,27,1,,,,,Arterial,,102009,101988,285,5,Arterial
102009 102007,Pennsylvania,102009,102007,2155,-1,1421,27,1,,,,,Arterial,,102009,102007,172,5,Arterial
102013 181,,102013,181,445,-1,1800,25,1,,,,,HOT,,102013,181,349,6,HOT
102013 100282,McDonel,102013,100282,1401,-1,1228,26,1,,,,,Arterial,,102013,100282,143,5,Arterial
